x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
2.9637,-1.0738,0.064869,0.47925,2.9744,-1.0738,0.060077,0.46213,0.16232,2.9852,-1.0738,0.055456,0.44501,0.16232,2.9959,-1.0738,0.051005,0.4336,0.16232,3.0066,-1.0738,0.046669,0.41649,0.16232,3.0174,-0.9204,0.042504,0.39937,0.16232
2.9529,-1.0738,0.069833,0.49636,2.9637,-1.0738,0.064869,0.47925,0.16232,2.9744,-1.0738,0.060077,0.46213,0.16232,2.9852,-1.0738,0.055456,0.44501,0.16232,2.9959,-1.0738,0.051005,0.4336,0.16232,3.0066,-1.0738,0.046669,0.41649,0.16232
2.9437,-0.9204,0.074911,0.50777,2.9529,-1.0738,0.069833,0.49636,0.16232,2.9637,-1.0738,0.064869,0.47925,0.16232,2.9744,-1.0738,0.060077,0.46213,0.16232,2.9852,-1.0738,0.055456,0.44501,0.16232,2.9959,-1.0738,0.051005,0.4336,0.16232
2.933,-1.0738,0.080159,0.52489,2.9437,-0.9204,0.074911,0.50777,0.16232,2.9529,-1.0738,0.069833,0.49636,0.16232,2.9637,-1.0738,0.064869,0.47925,0.16232,2.9744,-1.0738,0.060077,0.46213,0.16232,2.9852,-1.0738,0.055456,0.44501,0.16232
2.9223,-1.0738,0.08558,0.542,2.933,-1.0738,0.080159,0.52489,0.16232,2.9437,-0.9204,0.074911,0.50777,0.16232,2.9529,-1.0738,0.069833,0.49636,0.16232,2.9637,-1.0738,0.064869,0.47925,0.16232,2.9744,-1.0738,0.060077,0.46213,0.16232
2.9131,-0.9204,0.091114,0.55341,2.9223,-1.0738,0.08558,0.542,0.16232,2.933,-1.0738,0.080159,0.52489,0.16232,2.9437,-0.9204,0.074911,0.50777,0.16232,2.9529,-1.0738,0.069833,0.49636,0.16232,2.9637,-1.0738,0.064869,0.47925,0.16232
2.9039,-0.9204,0.096819,0.57053,2.9131,-0.9204,0.091114,0.55341,0.16232,2.9223,-1.0738,0.08558,0.542,0.16232,2.933,-1.0738,0.080159,0.52489,0.16232,2.9437,-0.9204,0.074911,0.50777,0.16232,2.9529,-1.0738,0.069833,0.49636,0.16232
2.8947,-0.9204,0.1027,0.58765,2.9039,-0.9204,0.096819,0.57053,0.16232,2.9131,-0.9204,0.091114,0.55341,0.16232,2.9223,-1.0738,0.08558,0.542,0.16232,2.933,-1.0738,0.080159,0.52489,0.16232,2.9437,-0.9204,0.074911,0.50777,0.16232
2.8855,-0.9204,0.10869,0.59906,2.8947,-0.9204,0.1027,0.58765,0.16232,2.9039,-0.9204,0.096819,0.57053,0.16232,2.9131,-0.9204,0.091114,0.55341,0.16232,2.9223,-1.0738,0.08558,0.542,0.16232,2.933,-1.0738,0.080159,0.52489,0.16232
2.8763,-0.9204,0.11485,0.61617,2.8855,-0.9204,0.10869,0.59906,0.16232,2.8947,-0.9204,0.1027,0.58765,0.16232,2.9039,-0.9204,0.096819,0.57053,0.16232,2.9131,-0.9204,0.091114,0.55341,0.16232,2.9223,-1.0738,0.08558,0.542,0.16232
2.8686,-0.767,0.12118,0.63329,2.8763,-0.9204,0.11485,0.61617,0.16232,2.8855,-0.9204,0.10869,0.59906,0.16232,2.8947,-0.9204,0.1027,0.58765,0.16232,2.9039,-0.9204,0.096819,0.57053,0.16232,2.9131,-0.9204,0.091114,0.55341,0.16232
2.8594,-0.9204,0.12763,0.6447,2.8686,-0.767,0.12118,0.63329,0.16232,2.8763,-0.9204,0.11485,0.61617,0.16232,2.8855,-0.9204,0.10869,0.59906,0.16232,2.8947,-0.9204,0.1027,0.58765,0.16232,2.9039,-0.9204,0.096819,0.57053,0.16232
2.8532,-0.6136,0.13425,0.66181,2.8594,-0.9204,0.12763,0.6447,0.16232,2.8686,-0.767,0.12118,0.63329,0.16232,2.8763,-0.9204,0.11485,0.61617,0.16232,2.8855,-0.9204,0.10869,0.59906,0.16232,2.8947,-0.9204,0.1027,0.58765,0.16232
2.8456,-0.767,0.14098,0.67323,2.8532,-0.6136,0.13425,0.66181,0.16232,2.8594,-0.9204,0.12763,0.6447,0.16232,2.8686,-0.767,0.12118,0.63329,0.16232,2.8763,-0.9204,0.11485,0.61617,0.16232,2.8855,-0.9204,0.10869,0.59906,0.16232
2.8394,-0.6136,0.14788,0.69034,2.8456,-0.767,0.14098,0.67323,0.16232,2.8532,-0.6136,0.13425,0.66181,0.16232,2.8594,-0.9204,0.12763,0.6447,0.16232,2.8686,-0.767,0.12118,0.63329,0.16232,2.8763,-0.9204,0.11485,0.61617,0.16232
2.8333,-0.6136,0.15496,0.70746,2.8394,-0.6136,0.14788,0.69034,0.16232,2.8456,-0.767,0.14098,0.67323,0.16232,2.8532,-0.6136,0.13425,0.66181,0.16232,2.8594,-0.9204,0.12763,0.6447,0.16232,2.8686,-0.767,0.12118,0.63329,0.16232
2.8272,-0.6136,0.16214,0.71887,2.8333,-0.6136,0.15496,0.70746,0.16232,2.8394,-0.6136,0.14788,0.69034,0.16232,2.8456,-0.767,0.14098,0.67323,0.16232,2.8532,-0.6136,0.13425,0.66181,0.16232,2.8594,-0.9204,0.12763,0.6447,0.16232
2.8226,-0.4602,0.16945,0.73028,2.8272,-0.6136,0.16214,0.71887,0.16232,2.8333,-0.6136,0.15496,0.70746,0.16232,2.8394,-0.6136,0.14788,0.69034,0.16232,2.8456,-0.767,0.14098,0.67323,0.16232,2.8532,-0.6136,0.13425,0.66181,0.16232
2.818,-0.4602,0.17698,0.7531,2.8226,-0.4602,0.16945,0.73028,0.16232,2.8272,-0.6136,0.16214,0.71887,0.16232,2.8333,-0.6136,0.15496,0.70746,0.16232,2.8394,-0.6136,0.14788,0.69034,0.16232,2.8456,-0.767,0.14098,0.67323,0.16232
2.8149,-0.3068,0.18462,0.76451,2.818,-0.4602,0.17698,0.7531,0.16232,2.8226,-0.4602,0.16945,0.73028,0.16232,2.8272,-0.6136,0.16214,0.71887,0.16232,2.8333,-0.6136,0.15496,0.70746,0.16232,2.8394,-0.6136,0.14788,0.69034,0.16232
2.8118,-0.3068,0.19238,0.77592,2.8149,-0.3068,0.18462,0.76451,0.16535,2.818,-0.4602,0.17698,0.7531,0.16232,2.8226,-0.4602,0.16945,0.73028,0.16232,2.8272,-0.6136,0.16214,0.71887,0.16232,2.8333,-0.6136,0.15496,0.70746,0.16232
2.8088,-0.3068,0.20031,0.79304,2.8118,-0.3068,0.19238,0.77592,0.16535,2.8149,-0.3068,0.18462,0.76451,0.16535,2.818,-0.4602,0.17698,0.7531,0.16232,2.8226,-0.4602,0.16945,0.73028,0.16232,2.8272,-0.6136,0.16214,0.71887,0.16232
2.8057,-0.3068,0.20841,0.81015,2.8088,-0.3068,0.20031,0.79304,0.16535,2.8118,-0.3068,0.19238,0.77592,0.16535,2.8149,-0.3068,0.18462,0.76451,0.16535,2.818,-0.4602,0.17698,0.7531,0.16232,2.8226,-0.4602,0.16945,0.73028,0.16232
2.8057,0,0.21663,0.82156,2.8057,-0.3068,0.20841,0.81015,0.16535,2.8088,-0.3068,0.20031,0.79304,0.16535,2.8118,-0.3068,0.19238,0.77592,0.16535,2.8149,-0.3068,0.18462,0.76451,0.16535,2.818,-0.4602,0.17698,0.7531,0.16232
2.8042,-0.1534,0.22502,0.83868,2.8057,0,0.21663,0.82156,0.16535,2.8057,-0.3068,0.20841,0.81015,0.16535,2.8088,-0.3068,0.20031,0.79304,0.16535,2.8118,-0.3068,0.19238,0.77592,0.16535,2.8149,-0.3068,0.18462,0.76451,0.16535
2.8042,0,0.23357,0.8558,2.8042,-0.1534,0.22502,0.83868,0.16535,2.8057,0,0.21663,0.82156,0.16535,2.8057,-0.3068,0.20841,0.81015,0.16535,2.8088,-0.3068,0.20031,0.79304,0.16535,2.8118,-0.3068,0.19238,0.77592,0.16535
2.8042,0,0.2423,0.87291,2.8042,0,0.23357,0.8558,0.16535,2.8042,-0.1534,0.22502,0.83868,0.16535,2.8057,0,0.21663,0.82156,0.16535,2.8057,-0.3068,0.20841,0.81015,0.16535,2.8088,-0.3068,0.20031,0.79304,0.16535
2.8042,0,0.25115,0.88432,2.8042,0,0.2423,0.87291,0.16535,2.8042,0,0.23357,0.8558,0.16535,2.8042,-0.1534,0.22502,0.83868,0.16535,2.8057,0,0.21663,0.82156,0.16535,2.8057,-0.3068,0.20841,0.81015,0.16535
2.8057,0.1534,0.26016,0.90144,2.8042,0,0.25115,0.88432,0.16535,2.8042,0,0.2423,0.87291,0.16535,2.8042,0,0.23357,0.8558,0.16535,2.8042,-0.1534,0.22502,0.83868,0.16535,2.8057,0,0.21663,0.82156,0.16535
2.8088,0.3068,0.26929,0.91285,2.8057,0.1534,0.26016,0.90144,0.16535,2.8042,0,0.25115,0.88432,0.16535,2.8042,0,0.2423,0.87291,0.16535,2.8042,0,0.23357,0.8558,0.16535,2.8042,-0.1534,0.22502,0.83868,0.16535
2.8118,0.3068,0.27859,0.92996,2.8088,0.3068,0.26929,0.91285,0.16535,2.8057,0.1534,0.26016,0.90144,0.16535,2.8042,0,0.25115,0.88432,0.16535,2.8042,0,0.2423,0.87291,0.16535,2.8042,0,0.23357,0.8558,0.16535
2.8149,0.3068,0.28806,0.94708,2.8118,0.3068,0.27859,0.92996,0.16535,2.8088,0.3068,0.26929,0.91285,0.16535,2.8057,0.1534,0.26016,0.90144,0.16535,2.8042,0,0.25115,0.88432,0.16535,2.8042,0,0.2423,0.87291,0.16535
2.818,0.3068,0.29765,0.95849,2.8149,0.3068,0.28806,0.94708,0.16535,2.8118,0.3068,0.27859,0.92996,0.16535,2.8088,0.3068,0.26929,0.91285,0.16535,2.8057,0.1534,0.26016,0.90144,0.16535,2.8042,0,0.25115,0.88432,0.16535
2.8226,0.4602,0.3074,0.97561,2.818,0.3068,0.29765,0.95849,0.16535,2.8149,0.3068,0.28806,0.94708,0.16535,2.8118,0.3068,0.27859,0.92996,0.16535,2.8088,0.3068,0.26929,0.91285,0.16535,2.8057,0.1534,0.26016,0.90144,0.16535
2.8272,0.4602,0.31733,0.99272,2.8226,0.4602,0.3074,0.97561,0.16535,2.818,0.3068,0.29765,0.95849,0.16535,2.8149,0.3068,0.28806,0.94708,0.16535,2.8118,0.3068,0.27859,0.92996,0.16535,2.8088,0.3068,0.26929,0.91285,0.16535
2.8333,0.6136,0.32737,1.0041,2.8272,0.4602,0.31733,0.99272,0.16535,2.8226,0.4602,0.3074,0.97561,0.16535,2.818,0.3068,0.29765,0.95849,0.16535,2.8149,0.3068,0.28806,0.94708,0.16535,2.8118,0.3068,0.27859,0.92996,0.16535
2.8394,0.6136,0.3373,0.99272,2.8333,0.6136,0.32737,1.0041,-0.16098,2.8272,0.4602,0.31733,0.99272,0.16535,2.8226,0.4602,0.3074,0.97561,0.16535,2.818,0.3068,0.29765,0.95849,0.16535,2.8149,0.3068,0.28806,0.94708,0.16535
2.8486,0.9204,0.34671,0.94137,2.8394,0.6136,0.3373,0.99272,-0.16098,2.8333,0.6136,0.32737,1.0041,-0.16098,2.8272,0.4602,0.31733,0.99272,0.16535,2.8226,0.4602,0.3074,0.97561,0.16535,2.818,0.3068,0.29765,0.95849,0.16535
