x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
3.1309,-0.3068,0.003252,0.1084,3.134,-0.3068,0.002168,0.091285,0.14609,3.137,-0.3068,0.0012552,0.068464,0.14609,3.1401,-0.1534,0.00057053,0.039937,0.14609,-3.1416,0,0.00017116,0.017116,0.14609,-3.1416,0.00393464,0,0,0.14609
3.1263,-0.4602,0.0045072,0.12552,3.1309,-0.3068,0.003252,0.1084,0.14609,3.134,-0.3068,0.002168,0.091285,0.14609,3.137,-0.3068,0.0012552,0.068464,0.14609,3.1401,-0.1534,0.00057053,0.039937,0.14609,-3.1416,0,0.00017116,0.017116,0.14609
3.1217,-0.4602,0.0059906,0.14834,3.1263,-0.4602,0.0045072,0.12552,0.14609,3.1309,-0.3068,0.003252,0.1084,0.14609,3.134,-0.3068,0.002168,0.091285,0.14609,3.137,-0.3068,0.0012552,0.068464,0.14609,3.1401,-0.1534,0.00057053,0.039937,0.14609
3.1171,-0.4602,0.0076451,0.16545,3.1217,-0.4602,0.0059906,0.14834,0.14609,3.1263,-0.4602,0.0045072,0.12552,0.14609,3.1309,-0.3068,0.003252,0.1084,0.14609,3.134,-0.3068,0.002168,0.091285,0.14609,3.137,-0.3068,0.0012552,0.068464,0.14609
3.111,-0.6136,0.0095279,0.18827,3.1171,-0.4602,0.0076451,0.16545,0.14609,3.1217,-0.4602,0.0059906,0.14834,0.14609,3.1263,-0.4602,0.0045072,0.12552,0.14609,3.1309,-0.3068,0.003252,0.1084,0.14609,3.134,-0.3068,0.002168,0.091285,0.14609
3.1048,-0.6136,0.011525,0.19969,3.111,-0.6136,0.0095279,0.18827,0.14609,3.1171,-0.4602,0.0076451,0.16545,0.14609,3.1217,-0.4602,0.0059906,0.14834,0.14609,3.1263,-0.4602,0.0045072,0.12552,0.14609,3.1309,-0.3068,0.003252,0.1084,0.14609
3.0987,-0.6136,0.01375,0.22251,3.1048,-0.6136,0.011525,0.19969,0.14609,3.111,-0.6136,0.0095279,0.18827,0.14609,3.1171,-0.4602,0.0076451,0.16545,0.14609,3.1217,-0.4602,0.0059906,0.14834,0.14609,3.1263,-0.4602,0.0045072,0.12552,0.14609
3.091,-0.767,0.016089,0.23392,3.0987,-0.6136,0.01375,0.22251,0.14609,3.1048,-0.6136,0.011525,0.19969,0.14609,3.111,-0.6136,0.0095279,0.18827,0.14609,3.1171,-0.4602,0.0076451,0.16545,0.14609,3.1217,-0.4602,0.0059906,0.14834,0.14609
3.0833,-0.767,0.018656,0.25674,3.091,-0.767,0.016089,0.23392,0.14609,3.0987,-0.6136,0.01375,0.22251,0.14609,3.1048,-0.6136,0.011525,0.19969,0.14609,3.111,-0.6136,0.0095279,0.18827,0.14609,3.1171,-0.4602,0.0076451,0.16545,0.14609
3.0757,-0.767,0.021338,0.26815,3.0833,-0.767,0.018656,0.25674,0.14609,3.091,-0.767,0.016089,0.23392,0.14609,3.0987,-0.6136,0.01375,0.22251,0.14609,3.1048,-0.6136,0.011525,0.19969,0.14609,3.111,-0.6136,0.0095279,0.18827,0.14609
3.068,-0.767,0.024248,0.29097,3.0757,-0.767,0.021338,0.26815,0.14609,3.0833,-0.767,0.018656,0.25674,0.14609,3.091,-0.767,0.016089,0.23392,0.14609,3.0987,-0.6136,0.01375,0.22251,0.14609,3.1048,-0.6136,0.011525,0.19969,0.14609
