x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
-2.9253,1.3806,-0.07782,-0.61047,-2.9391,1.3806,-0.071716,-0.58765,-0.2,-2.9529,1.3806,-0.065839,-0.56482,-0.2,-2.9667,1.3806,-0.060191,-0.542,-0.2,-2.9805,1.3806,-0.054771,-0.51918,-0.2,-2.9943,1.3806,-0.049579,-0.49066,-0.2
-2.9115,1.3806,-0.084153,-0.63329,-2.9253,1.3806,-0.07782,-0.61047,-0.2,-2.9391,1.3806,-0.071716,-0.58765,-0.2,-2.9529,1.3806,-0.065839,-0.56482,-0.2,-2.9667,1.3806,-0.060191,-0.542,-0.2,-2.9805,1.3806,-0.054771,-0.51918,-0.2
-2.8961,1.534,-0.090714,-0.65611,-2.9115,1.3806,-0.084153,-0.63329,-0.2,-2.9253,1.3806,-0.07782,-0.61047,-0.2,-2.9391,1.3806,-0.071716,-0.58765,-0.2,-2.9529,1.3806,-0.065839,-0.56482,-0.2,-2.9667,1.3806,-0.060191,-0.542,-0.2
-2.8823,1.3806,-0.097504,-0.67893,-2.8961,1.534,-0.090714,-0.65611,-0.2,-2.9115,1.3806,-0.084153,-0.63329,-0.2,-2.9253,1.3806,-0.07782,-0.61047,-0.2,-2.9391,1.3806,-0.071716,-0.58765,-0.2,-2.9529,1.3806,-0.065839,-0.56482,-0.2
-2.8685,1.3806,-0.10452,-0.70175,-2.8823,1.3806,-0.097504,-0.67893,-0.2,-2.8961,1.534,-0.090714,-0.65611,-0.2,-2.9115,1.3806,-0.084153,-0.63329,-0.2,-2.9253,1.3806,-0.07782,-0.61047,-0.2,-2.9391,1.3806,-0.071716,-0.58765,-0.2
-2.8547,1.3806,-0.11177,-0.72457,-2.8685,1.3806,-0.10452,-0.70175,-0.2,-2.8823,1.3806,-0.097504,-0.67893,-0.2,-2.8961,1.534,-0.090714,-0.65611,-0.2,-2.9115,1.3806,-0.084153,-0.63329,-0.2,-2.9253,1.3806,-0.07782,-0.61047,-0.2
-2.8409,1.3806,-0.11918,-0.74169,-2.8547,1.3806,-0.11177,-0.72457,-0.2,-2.8685,1.3806,-0.10452,-0.70175,-0.2,-2.8823,1.3806,-0.097504,-0.67893,-0.2,-2.8961,1.534,-0.090714,-0.65611,-0.2,-2.9115,1.3806,-0.084153,-0.63329,-0.2
-2.8286,1.2272,-0.12689,-0.77022,-2.8409,1.3806,-0.11918,-0.74169,-0.2,-2.8547,1.3806,-0.11177,-0.72457,-0.2,-2.8685,1.3806,-0.10452,-0.70175,-0.2,-2.8823,1.3806,-0.097504,-0.67893,-0.2,-2.8961,1.534,-0.090714,-0.65611,-0.2
-2.8148,1.3806,-0.13476,-0.78733,-2.8286,1.2272,-0.12689,-0.77022,-0.2,-2.8409,1.3806,-0.11918,-0.74169,-0.2,-2.8547,1.3806,-0.11177,-0.72457,-0.2,-2.8685,1.3806,-0.10452,-0.70175,-0.2,-2.8823,1.3806,-0.097504,-0.67893,-0.2
-2.8025,1.2272,-0.14286,-0.81015,-2.8148,1.3806,-0.13476,-0.78733,-0.2,-2.8286,1.2272,-0.12689,-0.77022,-0.2,-2.8409,1.3806,-0.11918,-0.74169,-0.2,-2.8547,1.3806,-0.11177,-0.72457,-0.2,-2.8685,1.3806,-0.10452,-0.70175,-0.2
