x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
3.0327,-0.9204,0.038454,0.35373,3.0419,-0.9204,0.034916,0.33661,0.17613,3.0511,-0.767,0.03155,0.3195,0.17301,3.0588,-0.9204,0.028355,0.29668,0.16972
3.0235,-0.9204,0.042219,0.37655,3.0327,-0.9204,0.038454,0.35373,0.17907,3.0419,-0.9204,0.034916,0.33661,0.17613,3.0511,-0.767,0.03155,0.3195,0.17301
3.0143,-0.9204,0.046213,0.39937,3.0235,-0.9204,0.042219,0.37655,0.18182,3.0327,-0.9204,0.038454,0.35373,0.17907,3.0419,-0.9204,0.034916,0.33661,0.17613
3.0051,-0.9204,0.050378,0.41649,3.0143,-0.9204,0.046213,0.39937,0.18439,3.0235,-0.9204,0.042219,0.37655,0.18182,3.0327,-0.9204,0.038454,0.35373,0.17907
2.9944,-1.0738,0.054828,0.44501,3.0051,-0.9204,0.050378,0.41649,0.18678,3.0143,-0.9204,0.046213,0.39937,0.18439,3.0235,-0.9204,0.042219,0.37655,0.18182
2.9836,-1.0738,0.059392,0.45642,2.9944,-1.0738,0.054828,0.44501,0.18897,3.0051,-0.9204,0.050378,0.41649,0.18678,3.0143,-0.9204,0.046213,0.39937,0.18439
2.9729,-1.0738,0.064242,0.48495,2.9836,-1.0738,0.059392,0.45642,0.19097,2.9944,-1.0738,0.054828,0.44501,0.18897,3.0051,-0.9204,0.050378,0.41649,0.18678
2.9622,-1.0738,0.069262,0.50207,2.9729,-1.0738,0.064242,0.48495,0.19278,2.9836,-1.0738,0.059392,0.45642,0.19097,2.9944,-1.0738,0.054828,0.44501,0.18897
2.9514,-1.0738,0.074511,0.52489,2.9622,-1.0738,0.069262,0.50207,0.19439,2.9729,-1.0738,0.064242,0.48495,0.19278,2.9836,-1.0738,0.059392,0.45642,0.19097
2.9407,-1.0738,0.079988,0.54771,2.9514,-1.0738,0.074511,0.52489,0.1958,2.9622,-1.0738,0.069262,0.50207,0.19439,2.9729,-1.0738,0.064242,0.48495,0.19278
2.9299,-1.0738,0.085637,0.56482,2.9407,-1.0738,0.079988,0.54771,0.197,2.9514,-1.0738,0.074511,0.52489,0.1958,2.9622,-1.0738,0.069262,0.50207,0.19439
2.9192,-1.0738,0.09157,0.59335,2.9299,-1.0738,0.085637,0.56482,0.19801,2.9407,-1.0738,0.079988,0.54771,0.197,2.9514,-1.0738,0.074511,0.52489,0.1958
2.9085,-1.0738,0.097732,0.61617,2.9192,-1.0738,0.09157,0.59335,0.19881,2.9299,-1.0738,0.085637,0.56482,0.19801,2.9407,-1.0738,0.079988,0.54771,0.197
2.8977,-1.0738,0.10406,0.63329,2.9085,-1.0738,0.097732,0.61617,0.19941,2.9192,-1.0738,0.09157,0.59335,0.19881,2.9299,-1.0738,0.085637,0.56482,0.19801
2.887,-1.0738,0.11063,0.65611,2.8977,-1.0738,0.10406,0.63329,0.1998,2.9085,-1.0738,0.097732,0.61617,0.19941,2.9192,-1.0738,0.09157,0.59335,0.19881
2.8763,-1.0738,0.11747,0.68464,2.887,-1.0738,0.11063,0.65611,0.19998,2.8977,-1.0738,0.10406,0.63329,0.1998,2.9085,-1.0738,0.097732,0.61617,0.19941
2.8655,-1.0738,0.12449,0.70175,2.8763,-1.0738,0.11747,0.68464,0.19996,2.887,-1.0738,0.11063,0.65611,0.19998,2.8977,-1.0738,0.10406,0.63329,0.1998
2.8548,-1.0738,0.13174,0.72457,2.8655,-1.0738,0.12449,0.70175,0.19973,2.8763,-1.0738,0.11747,0.68464,0.19996,2.887,-1.0738,0.11063,0.65611,0.19998
2.8456,-0.9204,0.13921,0.74739,2.8548,-1.0738,0.13174,0.72457,0.19929,2.8655,-1.0738,0.12449,0.70175,0.19973,2.8763,-1.0738,0.11747,0.68464,0.19996
2.8348,-1.0738,0.14691,0.77022,2.8456,-0.9204,0.13921,0.74739,0.19865,2.8548,-1.0738,0.13174,0.72457,0.19929,2.8655,-1.0738,0.12449,0.70175,0.19973
2.8256,-0.9204,0.15484,0.79304,2.8348,-1.0738,0.14691,0.77022,0.1978,2.8456,-0.9204,0.13921,0.74739,0.19865,2.8548,-1.0738,0.13174,0.72457,0.19929
2.8164,-0.9204,0.16294,0.81015,2.8256,-0.9204,0.15484,0.79304,0.19674,2.8348,-1.0738,0.14691,0.77022,0.1978,2.8456,-0.9204,0.13921,0.74739,0.19865
2.8072,-0.9204,0.17133,0.83868,2.8164,-0.9204,0.16294,0.81015,0.19547,2.8256,-0.9204,0.15484,0.79304,0.19674,2.8348,-1.0738,0.14691,0.77022,0.1978
2.798,-0.9204,0.17983,0.85009,2.8072,-0.9204,0.17133,0.83868,0.19401,2.8164,-0.9204,0.16294,0.81015,0.19547,2.8256,-0.9204,0.15484,0.79304,0.19674
2.7903,-0.767,0.18862,0.87862,2.798,-0.9204,0.17983,0.85009,0.19234,2.8072,-0.9204,0.17133,0.83868,0.19401,2.8164,-0.9204,0.16294,0.81015,0.19547
2.7827,-0.767,0.19757,0.89573,2.7903,-0.767,0.18862,0.87862,0.19046,2.798,-0.9204,0.17983,0.85009,0.19234,2.8072,-0.9204,0.17133,0.83868,0.19401
2.7765,-0.6136,0.2067,0.91285,2.7827,-0.767,0.19757,0.89573,0.18839,2.7903,-0.767,0.18862,0.87862,0.19046,2.798,-0.9204,0.17983,0.85009,0.19234
2.7689,-0.767,0.21606,0.93567,2.7765,-0.6136,0.2067,0.91285,0.18612,2.7827,-0.767,0.19757,0.89573,0.18839,2.7903,-0.767,0.18862,0.87862,0.19046
2.7643,-0.4602,0.22559,0.95279,2.7689,-0.767,0.21606,0.93567,0.18365,2.7765,-0.6136,0.2067,0.91285,0.18612,2.7827,-0.767,0.19757,0.89573,0.18839
2.7581,-0.6136,0.23534,0.97561,2.7643,-0.4602,0.22559,0.95279,0.18099,2.7689,-0.767,0.21606,0.93567,0.18365,2.7765,-0.6136,0.2067,0.91285,0.18612
2.7535,-0.4602,0.24521,0.98702,2.7581,-0.6136,0.23534,0.97561,0.17813,2.7643,-0.4602,0.22559,0.95279,0.18099,2.7689,-0.767,0.21606,0.93567,0.18365
2.7505,-0.3068,0.25531,1.0098,2.7535,-0.4602,0.24521,0.98702,0.17509,2.7581,-0.6136,0.23534,0.97561,0.17813,2.7643,-0.4602,0.22559,0.95279,0.18099
2.7474,-0.3068,0.26552,1.0212,2.7505,-0.3068,0.25531,1.0098,0.17186,2.7535,-0.4602,0.24521,0.98702,0.17509,2.7581,-0.6136,0.23534,0.97561,0.17813
2.7443,-0.3068,0.27591,1.0384,2.7474,-0.3068,0.26552,1.0212,0.16845,2.7505,-0.3068,0.25531,1.0098,0.17186,2.7535,-0.4602,0.24521,0.98702,0.17509
