x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
3.1048,-0.6135923,-0.043064,-0.26768,3.1109,-0.4601942,-0.040387,-0.21414,0.17292,3.1155,-0.6135923,-0.038245,-0.20225,0.16553,3.1217,-0.3067962,-0.036223,-0.16061,0.15811,3.1247,-0.4601942,-0.034617,-0.1725,0.15067,3.1293,-0.4601942,-0.032892,-0.14276,0.14322
3.0971,-0.7669904,-0.04574,-0.26768,3.1048,-0.6135923,-0.043064,-0.26768,0.1803,3.1109,-0.4601942,-0.040387,-0.21414,0.17292,3.1155,-0.6135923,-0.038245,-0.20225,0.16553,3.1217,-0.3067962,-0.036223,-0.16061,0.15811,3.1247,-0.4601942,-0.034617,-0.1725,0.15067
3.091,-0.6135923,-0.048655,-0.29147,3.0971,-0.7669904,-0.04574,-0.26768,0.18765,3.1048,-0.6135923,-0.043064,-0.26768,0.1803,3.1109,-0.4601942,-0.040387,-0.21414,0.17292,3.1155,-0.6135923,-0.038245,-0.20225,0.16553,3.1217,-0.3067962,-0.036223,-0.16061,0.15811
3.0833,-0.7669904,-0.05151,-0.28552,3.091,-0.6135923,-0.048655,-0.29147,0.19498,3.0971,-0.7669904,-0.04574,-0.26768,0.18765,3.1048,-0.6135923,-0.043064,-0.26768,0.1803,3.1109,-0.4601942,-0.040387,-0.21414,0.17292,3.1155,-0.6135923,-0.038245,-0.20225,0.16553
3.0756,-0.7669904,-0.054901,-0.33906,3.0833,-0.7669904,-0.05151,-0.28552,0.20228,3.091,-0.6135923,-0.048655,-0.29147,0.19498,3.0971,-0.7669904,-0.04574,-0.26768,0.18765,3.1048,-0.6135923,-0.043064,-0.26768,0.1803,3.1109,-0.4601942,-0.040387,-0.21414,0.17292
3.0664,-0.9203885,-0.058708,-0.3807,3.0756,-0.7669904,-0.054901,-0.33906,0.20956,3.0833,-0.7669904,-0.05151,-0.28552,0.20228,3.091,-0.6135923,-0.048655,-0.29147,0.19498,3.0971,-0.7669904,-0.04574,-0.26768,0.18765,3.1048,-0.6135923,-0.043064,-0.26768,0.1803
3.0588,-0.7669904,-0.062455,-0.37475,3.0664,-0.9203885,-0.058708,-0.3807,0.21681,3.0756,-0.7669904,-0.054901,-0.33906,0.20956,3.0833,-0.7669904,-0.05151,-0.28552,0.20228,3.091,-0.6135923,-0.048655,-0.29147,0.19498,3.0971,-0.7669904,-0.04574,-0.26768,0.18765
3.0496,-0.9203885,-0.06656,-0.41044,3.0588,-0.7669904,-0.062455,-0.37475,0.22403,3.0664,-0.9203885,-0.058708,-0.3807,0.21681,3.0756,-0.7669904,-0.054901,-0.33906,0.20956,3.0833,-0.7669904,-0.05151,-0.28552,0.20228,3.091,-0.6135923,-0.048655,-0.29147,0.19498
3.0403,-0.9203885,-0.071021,-0.44613,3.0496,-0.9203885,-0.06656,-0.41044,0.23121,3.0588,-0.7669904,-0.062455,-0.37475,0.22403,3.0664,-0.9203885,-0.058708,-0.3807,0.21681,3.0756,-0.7669904,-0.054901,-0.33906,0.20956,3.0833,-0.7669904,-0.05151,-0.28552,0.20228
3.0296,-1.073787,-0.075364,-0.43423,3.0403,-0.9203885,-0.071021,-0.44613,0.23837,3.0496,-0.9203885,-0.06656,-0.41044,0.23121,3.0588,-0.7669904,-0.062455,-0.37475,0.22403,3.0664,-0.9203885,-0.058708,-0.3807,0.21681,3.0756,-0.7669904,-0.054901,-0.33906,0.20956
3.0204,-0.9203885,-0.080182,-0.48182,3.0296,-1.073787,-0.075364,-0.43423,0.2455,3.0403,-0.9203885,-0.071021,-0.44613,0.23837,3.0496,-0.9203885,-0.06656,-0.41044,0.23121,3.0588,-0.7669904,-0.062455,-0.37475,0.22403,3.0664,-0.9203885,-0.058708,-0.3807,0.21681
3.0097,-1.073787,-0.085178,-0.49967,3.0204,-0.9203885,-0.080182,-0.48182,0.25259,3.0296,-1.073787,-0.075364,-0.43423,0.2455,3.0403,-0.9203885,-0.071021,-0.44613,0.23837,3.0496,-0.9203885,-0.06656,-0.41044,0.23121,3.0588,-0.7669904,-0.062455,-0.37475,0.22403
2.9989,-1.073787,-0.090651,-0.54725,3.0097,-1.073787,-0.085178,-0.49967,0.25964,3.0204,-0.9203885,-0.080182,-0.48182,0.25259,3.0296,-1.073787,-0.075364,-0.43423,0.2455,3.0403,-0.9203885,-0.071021,-0.44613,0.23837,3.0496,-0.9203885,-0.06656,-0.41044,0.23121
2.9897,-0.9203885,-0.095767,-0.51156,2.9989,-1.073787,-0.090651,-0.54725,0.26666,3.0097,-1.073787,-0.085178,-0.49967,0.25964,3.0204,-0.9203885,-0.080182,-0.48182,0.25259,3.0296,-1.073787,-0.075364,-0.43423,0.2455,3.0403,-0.9203885,-0.071021,-0.44613,0.23837
2.979,-1.073787,-0.10142,-0.5651,2.9897,-0.9203885,-0.095767,-0.51156,0.27363,2.9989,-1.073787,-0.090651,-0.54725,0.26666,3.0097,-1.073787,-0.085178,-0.49967,0.25964,3.0204,-0.9203885,-0.080182,-0.48182,0.25259,3.0296,-1.073787,-0.075364,-0.43423,0.2455
2.9683,-1.073787,-0.10719,-0.57699,2.979,-1.073787,-0.10142,-0.5651,0.28057,2.9897,-0.9203885,-0.095767,-0.51156,0.27363,2.9989,-1.073787,-0.090651,-0.54725,0.26666,3.0097,-1.073787,-0.085178,-0.49967,0.25964,3.0204,-0.9203885,-0.080182,-0.48182,0.25259
2.9575,-1.073787,-0.11331,-0.61269,2.9683,-1.073787,-0.10719,-0.57699,0.28747,2.979,-1.073787,-0.10142,-0.5651,0.28057,2.9897,-0.9203885,-0.095767,-0.51156,0.27363,2.9989,-1.073787,-0.090651,-0.54725,0.26666,3.0097,-1.073787,-0.085178,-0.49967,0.25964
2.9468,-1.073787,-0.11932,-0.60079,2.9575,-1.073787,-0.11331,-0.61269,0.29432,2.9683,-1.073787,-0.10719,-0.57699,0.28747,2.979,-1.073787,-0.10142,-0.5651,0.28057,2.9897,-0.9203885,-0.095767,-0.51156,0.27363,2.9989,-1.073787,-0.090651,-0.54725,0.26666
2.936,-1.073787,-0.1261,-0.67812,2.9468,-1.073787,-0.11932,-0.60079,0.30113,2.9575,-1.073787,-0.11331,-0.61269,0.29432,2.9683,-1.073787,-0.10719,-0.57699,0.28747,2.979,-1.073787,-0.10142,-0.5651,0.28057,2.9897,-0.9203885,-0.095767,-0.51156,0.27363
