x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3,x_k-4,x_dot_k-4,theta_k-4,theta_dot_k-4,u_k-4,x_k-5,x_dot_k-5,theta_k-5,theta_dot_k-5,u_k-5
1.7932,6.749515,0.38076,0.20225,1.7257,6.289321,0.37874,0.1844,-0.07403,1.6628,6.442719,0.37689,0.1844,-0.07403,1.5984,5.522331,0.37505,0.15466,-0.07403,1.5432,6.135923,0.3735,0.17845,-0.07403,1.4818,5.522331,0.37172,0.15466,-0.07403
1.8638,7.056312,0.38284,0.20819,1.7932,6.749515,0.38076,0.20225,-0.07403,1.7257,6.289321,0.37874,0.1844,-0.07403,1.6628,6.442719,0.37689,0.1844,-0.07403,1.5984,5.522331,0.37505,0.15466,-0.07403,1.5432,6.135923,0.3735,0.17845,-0.07403
1.9374,7.363108,0.3851,0.22604,1.8638,7.056312,0.38284,0.20819,-0.07403,1.7932,6.749515,0.38076,0.20225,-0.07403,1.7257,6.289321,0.37874,0.1844,-0.07403,1.6628,6.442719,0.37689,0.1844,-0.07403,1.5984,5.522331,0.37505,0.15466,-0.07403
2.0172,7.9767,0.3876,0.24983,1.9374,7.363108,0.3851,0.22604,-0.07403,1.8638,7.056312,0.38284,0.20819,-0.07403,1.7932,6.749515,0.38076,0.20225,-0.07403,1.7257,6.289321,0.37874,0.1844,-0.07403,1.6628,6.442719,0.37689,0.1844,-0.07403
2.0923,7.516506,0.38992,0.23199,2.0172,7.9767,0.3876,0.24983,-0.07403,1.9374,7.363108,0.3851,0.22604,-0.07403,1.8638,7.056312,0.38284,0.20819,-0.07403,1.7932,6.749515,0.38076,0.20225,-0.07403,1.7257,6.289321,0.37874,0.1844,-0.07403
2.1721,7.9767,0.39254,0.26173,2.0923,7.516506,0.38992,0.23199,-0.07403,2.0172,7.9767,0.3876,0.24983,-0.07403,1.9374,7.363108,0.3851,0.22604,-0.07403,1.8638,7.056312,0.38284,0.20819,-0.07403,1.7932,6.749515,0.38076,0.20225,-0.07403
2.258,8.590292,0.39533,0.27957,2.1721,7.9767,0.39254,0.26173,-0.07403,2.0923,7.516506,0.38992,0.23199,-0.07403,2.0172,7.9767,0.3876,0.24983,-0.07403,1.9374,7.363108,0.3851,0.22604,-0.07403,1.8638,7.056312,0.38284,0.20819,-0.07403
2.3439,8.590292,0.39825,0.29147,2.258,8.590292,0.39533,0.27957,-0.07403,2.1721,7.9767,0.39254,0.26173,-0.07403,2.0923,7.516506,0.38992,0.23199,-0.07403,2.0172,7.9767,0.3876,0.24983,-0.07403,1.9374,7.363108,0.3851,0.22604,-0.07403
2.4298,8.590292,0.40116,0.29147,2.3439,8.590292,0.39825,0.29147,-0.07403,2.258,8.590292,0.39533,0.27957,-0.07403,2.1721,7.9767,0.39254,0.26173,-0.07403,2.0923,7.516506,0.38992,0.23199,-0.07403,2.0172,7.9767,0.3876,0.24983,-0.07403
2.5188,8.897089,0.40426,0.30932,2.4298,8.590292,0.40116,0.29147,-0.07403,2.3439,8.590292,0.39825,0.29147,-0.07403,2.258,8.590292,0.39533,0.27957,-0.07403,2.1721,7.9767,0.39254,0.26173,-0.07403,2.0923,7.516506,0.38992,0.23199,-0.07403
2.6093,9.050487,0.40741,0.31527,2.5188,8.897089,0.40426,0.30932,-0.07403,2.4298,8.590292,0.40116,0.29147,-0.07403,2.3439,8.590292,0.39825,0.29147,-0.07403,2.258,8.590292,0.39533,0.27957,-0.07403,2.1721,7.9767,0.39254,0.26173,-0.07403
2.7136,10.43107,0.4111,0.3688,2.6093,9.050487,0.40741,0.31527,-0.07403,2.5188,8.897089,0.40426,0.30932,-0.07403,2.4298,8.590292,0.40116,0.29147,-0.07403,2.3439,8.590292,0.39825,0.29147,-0.07403,2.258,8.590292,0.39533,0.27957,-0.07403
2.798,8.436894,0.41413,0.30337,2.7136,10.43107,0.4111,0.3688,-0.07403,2.6093,9.050487,0.40741,0.31527,-0.07403,2.5188,8.897089,0.40426,0.30932,-0.07403,2.4298,8.590292,0.40116,0.29147,-0.07403,2.3439,8.590292,0.39825,0.29147,-0.07403
2.8992,10.12427,0.41776,0.36285,2.798,8.436894,0.41413,0.30337,-0.07403,2.7136,10.43107,0.4111,0.3688,-0.07403,2.6093,9.050487,0.40741,0.31527,-0.07403,2.5188,8.897089,0.40426,0.30932,-0.07403,2.4298,8.590292,0.40116,0.29147,-0.07403
2.9928,9.357283,0.42109,0.33311,2.8992,10.12427,0.41776,0.36285,-0.07403,2.798,8.436894,0.41413,0.30337,-0.07403,2.7136,10.43107,0.4111,0.3688,-0.07403,2.6093,9.050487,0.40741,0.31527,-0.07403,2.5188,8.897089,0.40426,0.30932,-0.07403
3.0894,9.664079,0.4246,0.35096,2.9928,9.357283,0.42109,0.33311,-0.07403,2.8992,10.12427,0.41776,0.36285,-0.07403,2.798,8.436894,0.41413,0.30337,-0.07403,2.7136,10.43107,0.4111,0.3688,-0.07403,2.6093,9.050487,0.40741,0.31527,-0.07403
-3.1002,9.357283,0.42793,0.33311,3.0894,9.664079,0.4246,0.35096,-0.07403,2.9928,9.357283,0.42109,0.33311,-0.07403,2.8992,10.12427,0.41776,0.36285,-0.07403,2.798,8.436894,0.41413,0.30337,-0.07403,2.7136,10.43107,0.4111,0.3688,-0.07403
-3.002,9.817477,0.43144,0.35096,-3.1002,9.357283,0.42793,0.33311,-0.07403,3.0894,9.664079,0.4246,0.35096,-0.07403,2.9928,9.357283,0.42109,0.33311,-0.07403,2.8992,10.12427,0.41776,0.36285,-0.07403,2.798,8.436894,0.41413,0.30337,-0.07403
-2.9084,9.357283,0.43465,0.32121,-3.002,9.817477,0.43144,0.35096,-0.07403,-3.1002,9.357283,0.42793,0.33311,-0.07403,3.0894,9.664079,0.4246,0.35096,-0.07403,2.9928,9.357283,0.42109,0.33311,-0.07403,2.8992,10.12427,0.41776,0.36285,-0.07403
-2.8133,9.510681,0.43798,0.33311,-2.9084,9.357283,0.43465,0.32121,-0.07403,-3.002,9.817477,0.43144,0.35096,-0.07403,-3.1002,9.357283,0.42793,0.33311,-0.07403,3.0894,9.664079,0.4246,0.35096,-0.07403,2.9928,9.357283,0.42109,0.33311,-0.07403
-2.7197,9.357283,0.44114,0.31527,-2.8133,9.510681,0.43798,0.33311,-0.07403,-2.9084,9.357283,0.43465,0.32121,-0.07403,-3.002,9.817477,0.43144,0.35096,-0.07403,-3.1002,9.357283,0.42793,0.33311,-0.07403,3.0894,9.664079,0.4246,0.35096,-0.07403
-2.6292,9.050487,0.44417,0.30337,-2.7197,9.357283,0.44114,0.31527,-0.07403,-2.8133,9.510681,0.43798,0.33311,-0.07403,-2.9084,9.357283,0.43465,0.32121,-0.07403,-3.002,9.817477,0.43144,0.35096,-0.07403,-3.1002,9.357283,0.42793,0.33311,-0.07403
-2.5326,9.664079,0.44738,0.32121,-2.6292,9.050487,0.44417,0.30337,-0.07403,-2.7197,9.357283,0.44114,0.31527,-0.07403,-2.8133,9.510681,0.43798,0.33311,-0.07403,-2.9084,9.357283,0.43465,0.32121,-0.07403,-3.002,9.817477,0.43144,0.35096,-0.07403
-2.4406,9.203885,0.45036,0.29742,-2.5326,9.664079,0.44738,0.32121,-0.07403,-2.6292,9.050487,0.44417,0.30337,-0.07403,-2.7197,9.357283,0.44114,0.31527,-0.07403,-2.8133,9.510681,0.43798,0.33311,-0.07403,-2.9084,9.357283,0.43465,0.32121,-0.07403
-2.3593,8.130098,0.45303,0.26768,-2.4406,9.203885,0.45036,0.29742,-0.07403,-2.5326,9.664079,0.44738,0.32121,-0.07403,-2.6292,9.050487,0.44417,0.30337,-0.07403,-2.7197,9.357283,0.44114,0.31527,-0.07403,-2.8133,9.510681,0.43798,0.33311,-0.07403
-2.2749,8.436894,0.45571,0.26768,-2.3593,8.130098,0.45303,0.26768,-0.07403,-2.4406,9.203885,0.45036,0.29742,-0.07403,-2.5326,9.664079,0.44738,0.32121,-0.07403,-2.6292,9.050487,0.44417,0.30337,-0.07403,-2.7197,9.357283,0.44114,0.31527,-0.07403
-2.1875,8.74369,0.45839,0.26768,-2.2749,8.436894,0.45571,0.26768,-0.07403,-2.3593,8.130098,0.45303,0.26768,-0.07403,-2.4406,9.203885,0.45036,0.29742,-0.07403,-2.5326,9.664079,0.44738,0.32121,-0.07403,-2.6292,9.050487,0.44417,0.30337,-0.07403
