x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
-3.1048,-11.811652,-0.3704,-1.1124,-2.9867,-11.658254,-0.35928,-1.0886,0.30152,-2.8701,-11.19806,-0.3484,-1.041,0.30152,-2.7581,-12.271846,-0.33799,-1.1421,0.30152
3.0588,-11.96505,-0.38159,-1.1183,-3.1048,-11.811652,-0.3704,-1.1124,0.30152,-2.9867,-11.658254,-0.35928,-1.0886,0.30152,-2.8701,-11.19806,-0.3484,-1.041,0.30152
2.9468,-11.19806,-0.39206,-1.0469,3.0588,-11.96505,-0.38159,-1.1183,0.30152,-3.1048,-11.811652,-0.3704,-1.1124,0.30152,-2.9867,-11.658254,-0.35928,-1.0886,0.30152
2.8302,-11.658254,-0.40312,-1.1064,2.9468,-11.19806,-0.39206,-1.0469,0.30152,3.0588,-11.96505,-0.38159,-1.1183,0.30152,-3.1048,-11.811652,-0.3704,-1.1124,0.30152
2.7121,-11.811652,-0.41436,-1.1242,2.8302,-11.658254,-0.40312,-1.1064,0.30152,2.9468,-11.19806,-0.39206,-1.0469,0.30152,3.0588,-11.96505,-0.38159,-1.1183,0.30152
2.5986,-11.351458,-0.42543,-1.1064,2.7121,-11.811652,-0.41436,-1.1242,0.0071485,2.8302,-11.658254,-0.40312,-1.1064,0.30152,2.9468,-11.19806,-0.39206,-1.0469,0.30152
2.485,-11.351458,-0.43631,-1.0886,2.5986,-11.351458,-0.42543,-1.1064,0.0071485,2.7121,-11.811652,-0.41436,-1.1242,0.0071485,2.8302,-11.658254,-0.40312,-1.1064,0.30152
2.3669,-11.811652,-0.44732,-1.1005,2.485,-11.351458,-0.43631,-1.0886,0.0071485,2.5986,-11.351458,-0.42543,-1.1064,0.0071485,2.7121,-11.811652,-0.41436,-1.1242,0.0071485
2.2672,-9.9708751,-0.45654,-0.922,2.3669,-11.811652,-0.44732,-1.1005,0.0071485,2.485,-11.351458,-0.43631,-1.0886,0.0071485,2.5986,-11.351458,-0.42543,-1.1064,0.0071485
2.1568,-11.044662,-0.46647,-0.99338,2.2672,-9.9708751,-0.45654,-0.922,0.0071485,2.3669,-11.811652,-0.44732,-1.1005,0.0071485,2.485,-11.351458,-0.43631,-1.0886,0.0071485
2.0586,-9.817477,-0.47521,-0.87441,2.1568,-11.044662,-0.46647,-0.99338,0.0071485,2.2672,-9.9708751,-0.45654,-0.922,0.0071485,2.3669,-11.811652,-0.44732,-1.1005,0.0071485
1.9666,-9.2038847,-0.48336,-0.81493,2.0586,-9.817477,-0.47521,-0.87441,0.0071485,2.1568,-11.044662,-0.46647,-0.99338,0.0071485,2.2672,-9.9708751,-0.45654,-0.922,0.0071485
1.8715,-9.5106809,-0.49139,-0.80303,1.9666,-9.2038847,-0.48336,-0.81493,0.0071485,2.0586,-9.817477,-0.47521,-0.87441,0.0071485,2.1568,-11.044662,-0.46647,-0.99338,0.0071485
1.7779,-9.3572828,-0.49901,-0.7614,1.8715,-9.5106809,-0.49139,-0.80303,0.0071485,1.9666,-9.2038847,-0.48336,-0.81493,0.0071485,2.0586,-9.817477,-0.47521,-0.87441,0.0071485
1.6889,-8.8970886,-0.50615,-0.71381,1.7779,-9.3572828,-0.49901,-0.7614,0.0071485,1.8715,-9.5106809,-0.49139,-0.80303,0.0071485,1.9666,-9.2038847,-0.48336,-0.81493,0.0071485
1.603,-8.5902924,-0.51293,-0.67812,1.6889,-8.8970886,-0.50615,-0.71381,-1,1.7779,-9.3572828,-0.49901,-0.7614,0.0071485,1.8715,-9.5106809,-0.49139,-0.80303,0.0071485
1.5186,-8.4368943,-0.51911,-0.61863,1.603,-8.5902924,-0.51293,-0.67812,-1,1.6889,-8.8970886,-0.50615,-0.71381,-1,1.7779,-9.3572828,-0.49901,-0.7614,0.0071485
1.4343,-8.4368943,-0.52488,-0.57699,1.5186,-8.4368943,-0.51911,-0.61863,-1,1.603,-8.5902924,-0.51293,-0.67812,-1,1.6889,-8.8970886,-0.50615,-0.71381,-1
1.3591,-7.5165059,-0.52946,-0.45803,1.4343,-8.4368943,-0.52488,-0.57699,-1,1.5186,-8.4368943,-0.51911,-0.61863,-1,1.603,-8.5902924,-0.51293,-0.67812,-1
1.2855,-7.3631078,-0.53345,-0.39854,1.3591,-7.5165059,-0.52946,-0.45803,-1,1.4343,-8.4368943,-0.52488,-0.57699,-1,1.5186,-8.4368943,-0.51911,-0.61863,-1
1.2118,-7.3631078,-0.5369,-0.34501,1.2855,-7.3631078,-0.53345,-0.39854,-1,1.3591,-7.5165059,-0.52946,-0.45803,-1,1.4343,-8.4368943,-0.52488,-0.57699,-1
1.1367,-7.5165059,-0.53993,-0.30337,1.2118,-7.3631078,-0.5369,-0.34501,-1,1.2855,-7.3631078,-0.53345,-0.39854,-1,1.3591,-7.5165059,-0.52946,-0.45803,-1
1.0723,-6.4427193,-0.54196,-0.20225,1.1367,-7.5165059,-0.53993,-0.30337,-1,1.2118,-7.3631078,-0.5369,-0.34501,-1,1.2855,-7.3631078,-0.53345,-0.39854,-1
1.0032,-6.9029135,-0.54356,-0.16061,1.0723,-6.4427193,-0.54196,-0.20225,-1,1.1367,-7.5165059,-0.53993,-0.30337,-1,1.2118,-7.3631078,-0.5369,-0.34501,-1
0.93726,-6.5961174,-0.54457,-0.10112,1.0032,-6.9029135,-0.54356,-0.16061,-1,1.0723,-6.4427193,-0.54196,-0.20225,-1,1.1367,-7.5165059,-0.53993,-0.30337,-1
0.86977,-6.7495155,-0.54511,-0.053536,0.93726,-6.5961174,-0.54457,-0.10112,-1,1.0032,-6.9029135,-0.54356,-0.16061,-1,1.0723,-6.4427193,-0.54196,-0.20225,-1
0.80841,-6.1359232,-0.54511,0,0.86977,-6.7495155,-0.54511,-0.053536,-1,0.93726,-6.5961174,-0.54457,-0.10112,-1,1.0032,-6.9029135,-0.54356,-0.16061,-1
0.74551,-6.2893212,-0.54469,0.041639,0.80841,-6.1359232,-0.54511,0,-1,0.86977,-6.7495155,-0.54511,-0.053536,-1,0.93726,-6.5961174,-0.54457,-0.10112,-1
