x_k,x_dot_k,theta_k,theta_dot_k,x_k-1,x_dot_k-1,theta_k-1,theta_dot_k-1,u_k-1,x_k-2,x_dot_k-2,theta_k-2,theta_dot_k-2,u_k-2,x_k-3,x_dot_k-3,theta_k-3,theta_dot_k-3,u_k-3
2.8701,0.30679616,-0.075482,-0.70786,2.867,0.15339808,-0.068404,-0.70786,0.28325,2.8655,0.15339808,-0.061325,-0.67812,0.28325,2.8639,0.15339808,-0.054544,-0.63648,0.28325
2.8716,0.15339808,-0.082502,-0.70191,2.8701,0.30679616,-0.075482,-0.70786,0.28325,2.867,0.15339808,-0.068404,-0.70786,0.28325,2.8655,0.15339808,-0.061325,-0.67812,0.28325
2.8762,0.46019424,-0.090116,-0.7614,2.8716,0.15339808,-0.082502,-0.70191,0.28325,2.8701,0.30679616,-0.075482,-0.70786,0.28325,2.867,0.15339808,-0.068404,-0.70786,0.28325
2.8793,0.30679616,-0.097313,-0.71976,2.8762,0.46019424,-0.090116,-0.7614,0.28325,2.8716,0.15339808,-0.082502,-0.70191,0.28325,2.8701,0.30679616,-0.075482,-0.70786,0.28325
2.8823,0.30679616,-0.10499,-0.76734,2.8793,0.30679616,-0.097313,-0.71976,0.28325,2.8762,0.46019424,-0.090116,-0.7614,0.28325,2.8716,0.15339808,-0.082502,-0.70191,0.28325
2.887,0.46019424,-0.11272,-0.77329,2.8823,0.30679616,-0.10499,-0.76734,0.28325,2.8793,0.30679616,-0.097313,-0.71976,0.28325,2.8762,0.46019424,-0.090116,-0.7614,0.28325
2.8916,0.46019424,-0.12063,-0.79114,2.887,0.46019424,-0.11272,-0.77329,0.28325,2.8823,0.30679616,-0.10499,-0.76734,0.28325,2.8793,0.30679616,-0.097313,-0.71976,0.28325
2.8962,0.46019424,-0.12902,-0.83872,2.8916,0.46019424,-0.12063,-0.79114,0.28325,2.887,0.46019424,-0.11272,-0.77329,0.28325,2.8823,0.30679616,-0.10499,-0.76734,0.28325
2.9008,0.46019424,-0.13675,-0.77329,2.8962,0.46019424,-0.12902,-0.83872,0.28325,2.8916,0.46019424,-0.12063,-0.79114,0.28325,2.887,0.46019424,-0.11272,-0.77329,0.28325
2.9069,0.61359232,-0.14508,-0.83278,2.9008,0.46019424,-0.13675,-0.77329,0.28325,2.8962,0.46019424,-0.12902,-0.83872,0.28325,2.8916,0.46019424,-0.12063,-0.79114,0.28325
2.9115,0.46019424,-0.15323,-0.81493,2.9069,0.61359232,-0.14508,-0.83278,0.28325,2.9008,0.46019424,-0.13675,-0.77329,0.28325,2.8962,0.46019424,-0.12902,-0.83872,0.28325
2.9176,0.61359232,-0.16162,-0.83872,2.9115,0.46019424,-0.15323,-0.81493,0.28325,2.9069,0.61359232,-0.14508,-0.83278,0.28325,2.9008,0.46019424,-0.13675,-0.77329,0.28325
2.9253,0.76699039,-0.17054,-0.89226,2.9176,0.61359232,-0.16162,-0.83872,0.28325,2.9115,0.46019424,-0.15323,-0.81493,0.28325,2.9069,0.61359232,-0.14508,-0.83278,0.28325
